ANIO_PERIODO,CODIGO_UNIVERSIDAD,NOMBRE_UNIVERSIDAD,NOMBRE_FILIAL,NOMBRE_PROGRAMA,CODIGO_CLASE_CINE_N2,NOMBRE_CLASE_CINE_N2,CANTIDAD_CARNES
2016,001,UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS,[NO ESPECIFICADO],ANTROPOLOGIA,22,HUMANIDADES,1
2016,001,UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS,[NO ESPECIFICADO],COMPUTACION CIENTIFICA,61,INFORMÁTICA,2
2016,001,UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS,[NO ESPECIFICADO],HISTORIA,22,HUMANIDADES,2
2016,001,UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS,[NO ESPECIFICADO],INGENIERIA METALURGICA,71,INGENIERÍA Y PROFESIONES AFINES,2
2016,001,UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS,[NO ESPECIFICADO],INGENIERIA QUIMICA,53,CIENCIAS FÍSICAS Y QUÍMICAS,1
2016,001,UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS,[NO ESPECIFICADO],TOXICOLOGIA,91,SALUD,1
2016,001,UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS,UNMSM-SEDE PRINCIPAL,AUDITORIA EMPRES. Y SECTOR PUBL.,41,ADMINISTRACIÓN Y COMERCIO,565
2016,001,UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS,UNMSM-SEDE PRINCIPAL,DOC. EN CIENCIAS BIOLOGICAS,99,POSGRADO,12
2016,001,UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS,UNMSM-SEDE PRINCIPAL,DOC. EN INGENIERIA INDUSTRIAL,99,POSGRADO,5
2016,001,UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS,UNMSM-SEDE PRINCIPAL,ENFERMERIA,91,SALUD,356
2016,001,UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS,UNMSM-SEDE PRINCIPAL,FISICA,53,CIENCIAS FÍSICAS Y QUÍMICAS,270
2016,001,UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS,UNMSM-SEDE PRINCIPAL,MAE. EN BANCA Y FINANZAS,99,POSGRADO,34
2016,001,UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS,UNMSM-SEDE PRINCIPAL,MAE. EN FILOSOFIA,99,POSGRADO,24
2016,001,UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS,UNMSM-SEDE PRINCIPAL,MAE. EN LITERATURA,99,POSGRADO,19
2016,001,UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS,UNMSM-SEDE PRINCIPAL,MAE. EN POLITICA SOCIAL,99,POSGRADO,96
2016,001,UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS,UNMSM-SEDE PRINCIPAL,MAE. EN SALUD PUBLICA,99,POSGRADO,37
2016,001,UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS,UNMSM-SEDE PRINCIPAL,MAE. EN TELECOMUNICACIONES,99,POSGRADO,14
2016,001,UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS,UNMSM-SEDE PRINCIPAL,MAESTRIA EN SOCIOLOGIA CON MENCION EN EDUCACION Y DESARROLLO,99,POSGRADO,1
2016,001,UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS,UNMSM-SEDE PRINCIPAL,S.E. MEDICINA INTENSIVA,99,POSGRADO,6
2016,001,UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS,UNMSM-SEDE PRINCIPAL,S.E. MEDICINA REUMATOLOGIA,99,POSGRADO,5
2016,001,UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS,UNMSM-SEDE PRINCIPAL,S.E. NEFROLOGIA,99,POSGRADO,4
2016,001,UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS,UNMSM-SEDE PRINCIPAL,S.E.MED.ENFERMEDADES INFECCIOSAS Y TROPI,99,POSGRADO,7
2016,001,UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS,UNMSM-SEDE PRINCIPAL,S.SUB E. CARDIOLOGIA PEDIATRICA,99,POSGRADO,1
2016,001,UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS,UNMSM-SEDE PRINCIPAL,SOCIOLOGIA,31,CIENCIAS SOCIALES Y DEL COMPORTAMIENTO,353
2016,001,UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS,UNMSM-SEDE PRINCIPAL,TOXICOLOGIA,91,SALUD,101
2016,003,UNIVERSIDAD NACIONAL DE SAN ANTONIO ABAD DEL CUSCO,UNSAAC-CANAS,EDUCACION DE NIVEL INICIAL Y PRIMARIA,11,EDUCACIÓN INICIAL Y PRIMARIA,156
2016,003,UNIVERSIDAD NACIONAL DE SAN ANTONIO ABAD DEL CUSCO,UNSAAC-SEDE PRINCIPAL,DERECHO,99,POSGRADO,21
2016,004,UNIVERSIDAD NACIONAL DE TRUJILLO,[NO ESPECIFICADO],ENFERMERIA,91,SALUD,1
2016,004,UNIVERSIDAD NACIONAL DE TRUJILLO,UNT-HUAMACHUCO,ADMINISTRACION,41,ADMINISTRACIÓN Y COMERCIO,243
2016,004,UNIVERSIDAD NACIONAL DE TRUJILLO,UNT-TRUJILLO,FARMACIA Y BIOQUIMICA,91,SALUD,729
2016,004,UNIVERSIDAD NACIONAL DE TRUJILLO,UNT-TRUJILLO,MATEMATICAS,54,MATEMÁTICAS Y ESTADÍSTICA,95
2016,004,UNIVERSIDAD NACIONAL DE TRUJILLO,UNT-TRUJILLO,"SEC.: C.N: FISICA, QUIMICA Y BIOLOGIA",12,EDUCACIÓN SECUNDARIA,15
2016,004,UNIVERSIDAD NACIONAL DE TRUJILLO,UNT-TRUJILLO,SEC.: IDIOMAS,12,EDUCACIÓN SECUNDARIA,221
2016,004,UNIVERSIDAD NACIONAL DE TRUJILLO,UNT-TRUJILLO,SECCION DE INGENIERIA,99,POSGRADO,58
2016,004,UNIVERSIDAD NACIONAL DE TRUJILLO,UNT-TRUJILLO,SECCION EN CIENCIAS ECONOMICAS,99,POSGRADO,78
2016,004,UNIVERSIDAD NACIONAL DE TRUJILLO,UNT-TRUJILLO,SECCION EN FARMACIA Y BIOQUIMICA,99,POSGRADO,10
2016,004,UNIVERSIDAD NACIONAL DE TRUJILLO,UNT-TRUJILLO,TURISMO,01,SERVICIOS PERSONALES,274
2016,004,UNIVERSIDAD NACIONAL DE TRUJILLO,UNT-TRUJILLO,UNIDAD DE EDUCACION Y CIENCIAS DE LA COMUNICACION,99,POSGRADO,4
2016,005,UNIVERSIDAD NACIONAL DE SAN AGUSTIN,UNSA.-AREQUIPA,CIENCIAS DE LA NUTRICION,91,SALUD,390
2016,005,UNIVERSIDAD NACIONAL DE SAN AGUSTIN,UNSA.-AREQUIPA,CONTABILIDAD,41,ADMINISTRACIÓN Y COMERCIO,1100
2016,005,UNIVERSIDAD NACIONAL DE SAN AGUSTIN,UNSA.-AREQUIPA,MATEMATICAS,54,MATEMÁTICAS Y ESTADÍSTICA,392
2016,005,UNIVERSIDAD NACIONAL DE SAN AGUSTIN,UNSA.-AREQUIPA,MEDICINA,91,SALUD,298
2016,005,UNIVERSIDAD NACIONAL DE SAN AGUSTIN,UNSA.-AREQUIPA,TRABAJO SOCIAL,92,BIENESTAR,538
2016,006,UNIVERSIDAD NACIONAL DE INGENIERIA,[NO ESPECIFICADO],ING. CIVIL,73,ARQUITECTURA Y CONSTRUCCIÓN,2
2016,006,UNIVERSIDAD NACIONAL DE INGENIERIA,UNI-SEDE PRINCIPAL,CIENCIA DE LA COMPUTACION,61,INFORMÁTICA,216
2016,006,UNIVERSIDAD NACIONAL DE INGENIERIA,UNI-SEDE PRINCIPAL,ING. INDUSTRIAL,72,INDUSTRIA Y PRODUCCIÓN,778
2016,006,UNIVERSIDAD NACIONAL DE INGENIERIA,UNI-SEDE PRINCIPAL,PGFIPGNP,99,POSGRADO,29
2016,007,UNIVERSIDAD NACIONAL AGRARIA LA MOLINA,UNALM-SEDE PRINCIPAL,AGRICULTURA SUSTENTABLE,99,POSGRADO,78
2016,007,UNIVERSIDAD NACIONAL AGRARIA LA MOLINA,UNALM-SEDE PRINCIPAL,ECON. DE LOS REC. NAT. Y DEL AMBIENTE,99,POSGRADO,35
2016,007,UNIVERSIDAD NACIONAL AGRARIA LA MOLINA,UNALM-SEDE PRINCIPAL,ESTADISTICA APLICADA,99,POSGRADO,94
2016,007,UNIVERSIDAD NACIONAL AGRARIA LA MOLINA,UNALM-SEDE PRINCIPAL,INDUSTRIAS ALIMENTARIAS,72,INDUSTRIA Y PRODUCCIÓN,600
2016,007,UNIVERSIDAD NACIONAL AGRARIA LA MOLINA,UNALM-SEDE PRINCIPAL,INGENIERIA AMBIENTAL,52,MEDIO AMBIENTE,349
2016,007,UNIVERSIDAD NACIONAL AGRARIA LA MOLINA,UNALM-SEDE PRINCIPAL,INNOV. AGRARIA PARA EL DESARROLLO RURAL,99,POSGRADO,16
2016,001,UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS,[NO ESPECIFICADO],ADMINISTRACION DE TURISMO,01,SERVICIOS PERSONALES,3
2016,001,UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS,[NO ESPECIFICADO],BIBLIOTECOLOGIA Y C. DE LA INFOR,32,PERIODISMO E INFORMACIÓN,4
2016,001,UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS,[NO ESPECIFICADO],INGENIERIA DE SISTEMAS,61,INFORMÁTICA,4
2016,001,UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS,[NO ESPECIFICADO],INGENIERIA ELECTRONICA,71,INGENIERÍA Y PROFESIONES AFINES,1
2016,001,UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS,[NO ESPECIFICADO],INGENIERIA GEOLOGICA,53,CIENCIAS FÍSICAS Y QUÍMICAS,2
2016,001,UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS,[NO ESPECIFICADO],INGENIERIA TEXTIL Y CONFECCIONES,72,INDUSTRIA Y PRODUCCIÓN,3
2016,001,UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS,[NO ESPECIFICADO],QUIMICA,53,CIENCIAS FÍSICAS Y QUÍMICAS,3
2016,001,UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS,UNMSM-SEDE PRINCIPAL,CIENCIAS DE LOS ALIMENTOS,91,SALUD,99
2016,001,UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS,UNMSM-SEDE PRINCIPAL,DOC. GESTION ECONOMICA GLOBAL,99,POSGRADO,15
2016,001,UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS,UNMSM-SEDE PRINCIPAL,DOCTORADO EN FISICA,99,POSGRADO,8
2016,001,UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS,UNMSM-SEDE PRINCIPAL,ESTADISTICA,54,MATEMÁTICAS Y ESTADÍSTICA,228
2016,001,UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS,UNMSM-SEDE PRINCIPAL,INGENIERIA DE MINAS,72,INDUSTRIA Y PRODUCCIÓN,226
2016,001,UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS,UNMSM-SEDE PRINCIPAL,MAE. CIENCIAS GESTION ECONOM. EMP.,99,POSGRADO,31
2016,001,UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS,UNMSM-SEDE PRINCIPAL,MAE. EN GENERO Y DESARROLLO,99,POSGRADO,23
2016,001,UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS,UNMSM-SEDE PRINCIPAL,MAE. EN LENGUA Y LITERATURA,99,POSGRADO,17
2016,001,UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS,UNMSM-SEDE PRINCIPAL,MAE. EN MATEMATICA APLICADA,99,POSGRADO,19
2016,001,UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS,UNMSM-SEDE PRINCIPAL,MAE. EN ZOOLOGIA,99,POSGRADO,9
2016,001,UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS,UNMSM-SEDE PRINCIPAL,MAE. QUIMICA MENCION FISICOQUIMICA,99,POSGRADO,1
2016,001,UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS,UNMSM-SEDE PRINCIPAL,MAE. QUIMICA MENCION QUIMICA ORGANICA,99,POSGRADO,5
2016,001,UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS,UNMSM-SEDE PRINCIPAL,MAE.EN ARTE PERUANO Y LATINOAMER,99,POSGRADO,11
2016,001,UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS,UNMSM-SEDE PRINCIPAL,MAE.EN POLITICA Y GESTION TRIBUT,99,POSGRADO,233
2016,001,UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS,UNMSM-SEDE PRINCIPAL,MAESTRIA EN GESTION DE LA INFORMACION Y DEL CONOCIMIENTO,99,POSGRADO,15
2016,001,UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS,UNMSM-SEDE PRINCIPAL,MAESTRIA EN LINGÜISTICA,99,POSGRADO,11
2016,001,UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS,UNMSM-SEDE PRINCIPAL,MAESTRIA EN SOCIOLOGIA CON MENCION EN SOCIOLOGIA DE LAS ORGANIZACIONES,99,POSGRADO,8
2016,001,UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS,UNMSM-SEDE PRINCIPAL,MEDICINA VETERINARIA,00,SIN CLASIFICAR,384
2016,001,UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS,UNMSM-SEDE PRINCIPAL,S.E. ANIMALES DE COMPAÑIA,99,POSGRADO,13
2016,001,UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS,UNMSM-SEDE PRINCIPAL,S.E. INMUNOLOGIA CLINICA Y ALERGOLOGIA,99,POSGRADO,3
2016,001,UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS,UNMSM-SEDE PRINCIPAL,S.E. UROLOGIA,99,POSGRADO,1
2016,001,UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS,UNMSM-SEDE PRINCIPAL,SEGUNDA ESPECIALIDAD PROFESIONAL PARA OBSTETRAS,99,POSGRADO,45
2016,002,UNIV. NACIONAL SAN CRISTOBAL DE HUAMANGA,UNSCH-SEDE PRINCIPAL,AGRONOMIA,81,AGRICULTURA,512
2016,003,UNIVERSIDAD NACIONAL DE SAN ANTONIO ABAD DEL CUSCO,[NO ESPECIFICADO],BIOLOGIA,51,CIENCIAS BIOLÓGICAS Y AFINES,1
