Departamento,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Amazonas ,0.424,0.359,0.257,0.322,0.329,0.405,0.597,0.734,0.786,0.539,0.664
Áncash,12.772,13.963,14.21,15.277,15.452,16.29,15.627,15.42,14.718,14.666,14.863
Apurímac,2.102,1.699,1.87,2.258,2.239,2.293,2.219,2.277,2.326,1.961,2.103
Arequipa,32.73,34.563,36.411,37.518,38.021,41.206,39.574,38.598,39.486,39.025,38.739
Ayacucho,5.829,6.4,6.288,6.792,6.613,7.5,6.407,6.537,6.652,6.344,6.348
Cajamarca,15.105,18.001,15.303,15.743,15.564,20.238,18.192,17.033,14.513,12.424,12.285
Callao,21.884,23.613,24.957,26.106,26.285,26.389,26.577,25.827,26.423,26.521,26.332
Cusco,16.709,16.757,16.839,18.572,18.974,20.627,20.14,19.945,19.559,18.603,18.118
Huancavelica,2.8,3.109,1.898,2.135,2.425,2.041,1.716,1.409,1.348,1.245,1.223
Huánuco,6.125,7.131,6.273,6.532,6.631,6.878,6.697,6.846,7.627,6.678,7.068
Ica,13.269,14.364,14.033,15.203,15.824,16.493,16.098,16.359,16.395,16.416,16.82
Junín,22.409,22.235,22.342,23.438,23.921,26.335,24.149,24.425,24.441,23.26,23.982
La Libertad,27.969,30.726,29.762,29.331,26.422,32.179,30.574,30.901,30.777,30.223,31.176
Lambayeque,24.439,28.36,27.246,28.295,28.653,31.366,30.381,30.126,30.238,29.699,30.73
Provincia de Lima 1/,229.492,250.867,253.78,261.616,263.437,288.416,293.696,294.64,296.159,292.571,297.814
Región Lima 2/,15.035,15.623,15.945,16.319,15.234,17.127,16.617,17.017,18.108,17.389,18.738
Loreto,8.099,7.3,6.928,6.16,4.47,5.926,6.003,5.613,5.948,6.015,5.887
Madre de Dios,0.509,0.84,0.834,0.975,1.041,1.408,1.058,1.041,1.005,1.072,1.272
Moquegua,1.869,2.035,2.05,2.201,2.225,2.436,2.32,2.302,2.275,2.243,2.237
Pasco,3.198,2.395,2.24,2.38,2.148,2.283,2.075,2.017,1.822,1.795,1.768
Piura,22.65,24.334,24.707,25.85,26.783,29.604,28.386,29.369,29.173,29.541,31.029
Puno,13.884,14.71,13.984,15.229,16.142,18.521,16.676,15.881,15.5,14.918,14.67
San Martín,1.919,1.651,1.879,2.324,2.606,2.362,2.165,2.342,2.243,2.281,2.385
Tacna,5.712,5.954,6.43,6.512,6.613,6.737,6.712,6.081,5.251,5.289,5.314
Tumbes,2.178,2.178,2.4,2.431,2.515,2.673,2.794,3.009,3.105,3.092,2.975
Ucayali,1.559,1.662,1.829,2.16,1.779,2.834,2.404,2.818,3.161,3.084,3.185
