Departamento,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Lima Province,1176.654329,1277.454655,1344.800153,1315.91035,1435.191646,1561.569669,1596.873237,1696.812298,1809.869189,1939.85419,1921.118247
Moquegua,1124.136856,1328.241037,1352.533378,1541.315216,1563.963789,1780.226247,1826.273984,1823.677269,1791.212394,1818.413472,1689.68123
Madre de Dios,1090.644799,1251.504745,1412.046799,1495.319317,1832.648727,1867.424807,1936.350691,1861.409327,1655.478869,1632.931296,1669.266841
Callao,971.6583137,1097.229532,1237.951387,1219.020081,1189.135887,1329.754099,1353.305876,1494.480464,1528.500143,1561.123047,1598.491554
Tacna,909.6079959,1034.638442,1055.033214,1125.492689,1135.474669,1244.03366,1270.479902,1295.230383,1323.193734,1336.646572,1354.231115
Tumbes,873.5445042,783.3542587,856.1973075,910.7111258,1035.179079,1117.663958,1104.520408,1145.43124,1165.273893,1255.471981,1260.840613
La Libertad,819.2104332,762.8618884,925.530346,889.847124,895.4579035,1000.929448,1040.386551,1092.367497,1128.87683,1203.779591,1256.476378
Arequipa,816.5375855,985.6511007,1051.04767,1120.376542,1257.76707,1299.690818,1377.250185,1428.993379,1456.911435,1512.244693,1545.024687
Lima,764.5292569,839.3783354,836.7079935,981.113453,965.614263,1084.064225,1016.968927,1073.165964,1185.024361,1181.58218,1175.422206
Ucayali,758.7640883,771.8319161,851.6418993,824.9771855,963.2700559,1015.277888,1017.534659,1007.698081,1165.720765,1182.59209,1166.845284
Ica,704.8486567,801.6721973,895.4340349,923.9626741,996.992967,1022.852715,1082.29551,1187.126637,1278.108391,1297.332792,1363.68327
Junín,679.7897139,793.5271327,797.4904953,795.5311087,912.6889268,974.5892126,1003.817699,1044.682023,1139.451812,1199.318757,1135.651129
San Martín,666.6136958,774.1932532,811.1397537,882.288234,993.0287993,1032.66105,1001.24293,1038.198627,1098.855685,1079.205917,1128.750928
Loreto,664.5497395,727.4466828,771.8549222,863.8927798,888.0583379,977.5256461,944.9935248,1038.007534,1107.833306,1062.274601,1167.290868
Pasco,638.0121833,747.6000005,806.4029666,893.3870527,896.6170694,834.7526799,859.4565877,866.1201296,892.364658,1000.793554,1051.090559
Ancash,623.79049,734.0156054,770.800117,869.6338617,941.0638603,973.5351705,1009.07891,1048.672724,1014.398772,1094.851826,1090.038934
Lambayeque,589.9805626,636.5496931,670.7480863,707.5722463,750.4283777,843.5792042,835.4390467,906.027004,999.9953254,1117.122341,1113.183794
Cusco,584.7387853,650.5872927,756.5034549,775.747126,888.373198,973.5507008,1045.148881,1081.23312,1025.569792,1144.600277,1064.710752
Piura,550.1844207,620.4786965,759.7907063,742.665885,856.614952,886.9530092,890.4058006,902.4336637,935.0198381,952.3185146,1047.494389
Amazonas,542.3084134,641.8598148,718.6592673,806.2493531,784.1238357,858.8367961,826.1481507,857.2592701,939.0648125,995.3986729,967.1067983
Ayacucho,475.8777938,517.7025092,576.7301737,644.7016067,747.944753,750.2145283,752.2338669,773.4572649,904.6035192,879.5094755,902.2268438
Cajamarca,472.6926633,550.1163343,649.6468715,723.9515375,793.4321864,811.9644219,835.4497829,760.5429052,828.2108222,806.3127686,843.346852
Huánuco,461.0827257,531.6175062,572.7956383,623.0009964,720.2103471,848.4010246,898.3917486,877.8018611,923.534724,901.4938061,933.1393923
Apurímac,432.2062436,490.0769077,519.2085148,634.0217717,598.2362803,620.0029014,778.1685841,841.6201857,925.5634796,889.3664918,900.8136852
Puno,412.6790272,465.599763,507.5211991,588.2539963,631.7737624,720.7054093,806.4316764,879.8563145,799.4996259,856.7517115,818.7646916
Huancavelica,380.1800531,426.0752698,493.6388571,560.3777572,614.092072,641.9212188,684.6896895,622.1122541,719.8656879,733.7029946,709.0513699
